SimTime,Emergency_Vehicles,Emerg_At_Red_Light,Veh_Emerg_Sent,RSU_Emerg_Rx,Core_Emerg_Proc,Avg_TLS_Lat_ms,Avg_VehActionLatency_ms,Veh_Acc_Sent
164,4,0,0,0,0,0,0,0
165,4,0,0,0,0,0,0,0
166,4,0,0,0,0,0,0,0
167,4,0,0,0,0,0,0,0
168,4,0,0,0,0,0,0,0
169,4,0,0,0,0,0,0,0
170,4,0,0,0,0,0,0,0
171,4,0,0,0,0,0,0,0
172,4,0,0,0,0,0,0,0
173,4,0,0,0,0,0,0,0
174,4,0,0,0,0,0,0,0
175,4,0,0,0,0,0,0,0
176,4,0,0,0,0,0,0,0
177,4,0,0,0,0,0,0,0
178,4,0,0,0,0,0,0,0
179,4,0,1,1,0,0,0,0
180,4,0,1,1,1,190,0,0
181,3,0,0,0,0,0,0,0
182,3,0,0,0,0,0,0,0
183,3,0,0,0,0,0,0,0
184,3,0,0,0,0,0,0,0
185,3,0,0,0,0,0,0,0
186,3,0,0,0,0,0,0,0
187,3,0,0,0,0,0,0,0
188,3,0,0,0,0,0,0,0
189,3,0,0,0,0,0,0,0
190,3,0,0,0,0,0,0,0
191,3,0,0,0,0,0,0,0
192,3,0,0,0,0,0,0,0
193,3,0,0,0,0,0,0,0
194,3,0,0,0,0,0,0,0
195,3,0,0,0,0,0,0,0
196,3,0,0,0,0,0,0,0
197,3,0,0,0,0,0,0,0
198,3,0,0,0,0,0,0,0
199,3,0,0,0,0,0,0,0
200,3,0,0,0,0,0,0,0
